BH;20200328                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUSTOMER NUMBER;CUSTOMER NAME;APPROVED LIMIT;CIF BIRTHDATE;MOBILE NUMBER;LICENSE NUMBER;DAY OF CLOSING;CONTRACT NUMBER;CARD TYPE;EXPIRY DATE;CARD NO;EMAIL ADDRESS;RE-ISSUE FLAG;DATE OF OPENING CIF;CARD BLOCK CODE;ACTIVATION DATE;ACCOUNT BLOCK CODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0000000000003749;HUYNH TRONG 8                 ;00000000018000000;16081989;1                 ;1           ;00000000;0028010000000262;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01032016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000003756;HUYNH TRONG 9                 ;00000000019000000;01091989;1                 ;1           ;00000000;0028020000000204;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01032016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000003764;HUYNH TRONG 20                ;00000000020000000;12091989;1                 ;1           ;00000000;0028020000000212;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01032016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000003772;HUYNH TRONG 21                ;00000000021000000;11091989;1                 ;1           ;00000000;0028030000000203;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;01032016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000003848;VAN TRONG                     ;00000000020000000;08091970;0911111111        ;678567987   ;00000000;0028030000000211;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;02032016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000003913;TRONG                         ;00000000015000000;01121980;111111111         ;111111      ;00000000;0020010000000849;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;08122015;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000003947;DOAN NGOC MY                  ;00000000005000000;01011975;0346412601        ;211660041   ;00000000;0028030000000229;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;09122015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000003954;HUYNH THI NGOC DIEU           ;00000000005000000;01011988;0976633494        ;301302013   ;00000000;0028030000000237;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;09122015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000003962;NGUYEN HUU NGHIA              ;00000000005000000;17121990;0971676153        ;352116785   ;00000000;0028030000000245;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;JBRNGHIA@GMAIL.COM                                ;1;09122015;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004002;QUYNH TRANG                   ;00000000010000000;01011992;111111            ;1111111     ;00000000;0020020000000541;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;08012016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004143;TESTBEFORETING                ;00000090000000000;04021997;0899999999        ;TT          ;00000000;0020010000000914;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;26022016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004168;TESTAFTERTING                 ;00000090000000000;03021997;089999999         ;TT          ;00000000;0020010000000922;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;26022016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004176;TESTATING                     ;00000090000000000;24021986;0899999999        ;GG          ;00000000;0020010000000930;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;26022016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004184;YYTEST                        ;00000050000000000;03021987;0866666666        ;111         ;00000000;0020010000000948;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;26022016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004192;111                           ;00000000000001000;11022016;111               ;1           ;00000000;0020010000000963;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;02022016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004242;NGUYEN JACCS                  ;00000000010000000;01031980;0909123456        ;0123456789  ;00000000;0020010000000989;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;22032016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004283;PRAMOTE TEST 02               ;00000000002000000;01041998;123456            ;2111        ;00000000;0028030000000252;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;10042016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004309;CUSTOMER4309                  ;00000000002500000;06041982;087779999         ;123456789000;00000000;0020010000000997;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;CHOLIZE@GMAIL.COM                                 ;1;10042016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004358;TEST JACCS 01                 ;00000099999999900;09041997;0222222222        ;TT          ;00000000;0020010000001003;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;19052016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004499;NGUYEN VAN AN                 ;00000000015000000;23051961;0909990099        ;1234566798  ;00000000;0028030000000260;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;12012016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004564;DINH TRAN HOANG QUYEN         ;00000000010000000;16121981;0909990001        ;222333444   ;00000000;0020010000001086;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;20102016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004572;DINH QUYEN                    ;00000000015000000;16121981;080808080808      ;234765444   ;00000000;0020020000000558;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;20102016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004580;DINH HOANG QUYEN              ;00000000020000000;16121981;0999888675        ;564345876   ;00000000;0020020000000566;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;20102016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004622;NGUYEN HUYEN TRANG            ;00000000005000000;24011992;0999000111        ;333222444   ;00000000;0020020000000574;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;03112016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004630;HOANG QUYEN                   ;00000000005000000;16121981;01874446663       ;333222666   ;00000000;0020030000000466;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;03112016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004648;HUYEN TRANG                   ;00000000005000000;24011992;0944888337        ;555777362   ;00000000;0028010000000296;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;03112016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004689;NGUYEN HUYEN                  ;00000000005000000;10111992;02291119992       ;444876345   ;00000000;0020020000000582;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;03112016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004705;TRANG NGUYEN HUYEN            ;00000000005000000;06111984;0222999382        ;483928374839;00000000;0028010000000304;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;03112016;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000004739;DINH TRAN HOANG               ;00000000005000000;16121981;0774489677        ;756445777   ;00000000;0028010000000312;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;08112016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004754;TRAN HOANG QUYEN              ;00000000005000000;15031995;0779182723        ;342543654   ;00000000;0020020000000590;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;08112016;                         ;                                                                                                                    ;E                                                                                                                                                                                                                                                                                        
0000000000004820;NGUYEN HUYEN                  ;00000000005000000;16121981;44335567          ;345226543   ;00000000;0020010000001185;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;20122016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000004879;NGUYEN NHU Y                  ;00000000005000000;20121977;0911827365        ;012932786   ;00000000;0028030000000286;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23122016;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005058;NGUYEN THANH TRUC             ;00000000005000000;08051989;0774442255        ;123456741   ;00000000;0028010000000346;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000005066;NGUYEN XUAN TRUC              ;00000000008000000;09051984;09098855412       ;435965824   ;00000000;0028020000000311;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;F                                                                                                                                                                                                                                                                                        
0000000000005074;TRUC THANH XUAN               ;00000000005000000;13051992;012521354687      ;435564443   ;00000000;0028030000000294;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005082;THANH XUAN TRUC               ;00000000008000000;07031988;012254226535      ;324223654   ;00000000;0020010000001201;001;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;F                                                                                                                                                                                                                                                                                        
0000000000005090;NGUYEN THANH XUAN             ;00000000010000000;11051988;0775522135        ;852315462   ;00000000;0020020000000608;002;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005108;NGUYEN TRUC THANH             ;00000000005000000;14081990;0703325586        ;854625315   ;00000000;0020030000000508;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005116;XUAN TRUC THANH               ;00000000005000000;08051974;09665584123       ;546835412   ;00000000;0028010000000353;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005124;NGUYEN TRUC                   ;00000000008000000;12091978;0999555213        ;521442658   ;00000000;0028020000000329;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005132;NGUYEN XUAN                   ;00000000010000000;15101968;01124551253       ;432543654   ;00000000;0020030000000516;003;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005140;NGUYEN THANH                  ;00000000005000000;16051989;0321552468        ;2314453334  ;00000000;0028030000000302;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;16052017;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000005157;XUAN TRUC NGUYEN              ;00000000005000000;08051996;0845245163        ;865332562   ;00000000;0028010000000361;801;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23052017;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
0000000000005165;TRUC XUAN                     ;00000000005000000;08051978;0929555312        ;522142963   ;00000000;0028020000000337;802;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23052017;                         ;                                                                                                                    ;C                                                                                                                                                                                                                                                                                        
0000000000005173;XUAN THANH                    ;00000000005000000;06051981;0122244522        ;5523614798  ;00000000;0028030000000310;803;                                                                                                                    ;                                                                                                                                                                                                                                                                   ;                                                  ;1;23052017;                         ;                                                                                                                    ;1                                                                                                                                                                                                                                                                                        
